div_num|version_num|store_edit|edit_date|edit_by|reason_id|seq_num|literal|manager_auth|loyalty_required|comment_required|hidden|dsm_auth|eventnum|brand_sg|brand_sgc|brand_spi|brand_spc
1|1|1|2025-04-14 19:37:21|SG|||Mkt $5 OFF $25|0|0|0|0|0|10174|1|0|0|0
1|1|1|2025-04-14 19:37:38|SG|||Mkt $5 OFF $25|0|0|0|0|0|10175|1|0|0|0
1|1|1|2025-05-07 13:10:04|SG|6||All users can see the initiate button |0|0|0|0|0|10280|0|0|0|0
1|1|1|2025-05-07 13:14:13|SG|||Serialized for all User|0|0|0|0|0|10281|0|1|1|1
1|1|1|2025-05-07 13:25:41|SG|||Serialized for all User|0|0|0|0|0|10282|0|1|1|1
